season,game_date,player,team,position,minutes,points,rebounds,assists,steals,blocks,turnovers,fouls
2026,2025-12-03,Tony Bradley,Pacers,C,14,7,4,0,0,1,1,2
2026,2025-11-09,Kelly Oubre Jr.,76ers,G,36,13,5,3,0,1,3,3
2026,2026-02-27,Ron Harper Jr.,Celtics,G,6,3,0,0,0,0,0,1
2026,2025-11-03,Mohamed Diawara,Knicks,F,4,0,0,1,0,0,1,2
2026,2026-02-11,Tim Hardaway Jr.,Nuggets,G,28,21,3,0,0,0,0,2
2026,2026-01-09,Vince Williams Jr.,Grizzlies,G,23,13,3,5,0,1,1,2
2026,2026-04-05,Walter Clayton Jr.,Grizzlies,G,25,20,3,4,0,0,3,0
2026,2025-10-25,Keaton Wallace,Hawks,G,12,5,1,1,0,0,2,2
2026,2025-12-18,Brandon Miller,Hornets,F,35,26,5,8,3,1,1,4
2026,2025-11-12,Stephen Curry,Warriors,G,34,46,5,5,2,0,1,2
2026,2025-11-05,Jalen Brunson,Knicks,G,33,23,7,10,1,0,4,4
2026,2025-11-05,Ariel Hukporti,Knicks,C,2,4,1,0,0,0,0,0
2026,2025-11-08,Brandon Williams,Mavericks,G,26,14,2,6,4,0,1,2
2026,2026-01-02,Kevon Looney,Pelicans,F,24,4,12,2,1,1,1,1
2026,2025-12-26,Jose Alvarado,Pelicans,G,25,11,2,2,0,0,0,3
2026,2025-11-07,Moses Moody,Warriors,G,19,2,3,3,0,0,1,1
2026,2026-03-03,VJ Edgecombe,76ers,G,20,6,4,1,1,2,1,0
2026,2026-04-02,Jarrett Allen,Cavaliers,C,24,16,13,0,1,0,0,0
2026,2025-12-07,Tidjane Salaun,Hornets,F,16,5,6,1,0,0,0,2
2026,2026-02-11,Moses Moody,Warriors,G,35,17,4,2,0,0,0,5
2026,2026-02-20,Daniel Gafford,Mavericks,F,24,8,5,1,2,2,1,4
2026,2026-02-01,Khris Middleton,Wizards,F,18,13,1,3,0,0,2,0
2026,2025-12-25,Naji Marshall,Mavericks,F,28,14,4,0,0,0,1,3
2026,2025-11-20,Jabari Walker,76ers,F,11,2,2,1,0,0,0,0
2026,2025-12-26,Yanic Konan Niederhauser,Clippers,C,12,0,2,0,0,2,1,4
2026,2025-11-02,Karl-Anthony Towns,Knicks,C,36,20,15,5,0,2,1,1
2026,2026-01-06,Luke Kornet,Spurs,C,27,4,7,3,0,1,0,1
2026,2026-01-26,Matas Buzelis,Bulls,F,22,11,5,4,0,0,3,2
2026,2025-10-27,Blake Wesley,Trail Blazers,G,16,4,1,3,0,0,1,3
2026,2025-12-29,Zion Williamson,Pelicans,F,29,32,5,2,2,2,2,2
2026,2025-10-28,Giannis Antetokounmpo,Bucks,F,33,37,8,7,1,2,4,3
2026,2025-11-16,Herbert Jones,Pelicans,F,29,6,2,1,2,0,2,4
2026,2025-12-06,Jaden McDaniels,Timberwolves,F,37,27,1,2,2,1,2,2
2026,2025-10-22,Jaime Jaquez Jr.,Heat,F,30,13,6,1,2,0,2,3
2026,2026-01-16,Reed Sheppard,Rockets,G,19,14,0,2,2,0,0,2
2026,2026-03-20,Walter Clayton Jr.,Grizzlies,G,27,4,3,2,0,0,2,0
2026,2025-10-26,Jakob Poeltl,Raptors,C,19,4,8,4,1,0,1,5
2026,2026-02-25,Dennis Schroder,Cavaliers,G,35,26,2,5,1,0,3,1
2026,2025-11-17,Jordan Clarkson,Knicks,G,26,14,3,3,1,0,1,4
2026,2025-11-28,Santi Aldama,Grizzlies,F,22,13,7,5,0,0,0,1
2026,2026-03-06,Josh Green,Hornets,G,14,2,1,1,0,1,1,2
2026,2026-02-09,Lauri Markkanen,Jazz,F,25,17,8,1,0,0,1,2
2026,2026-04-01,Tari Eason,Rockets,F,24,5,2,0,0,0,0,2
2026,2026-03-15,Anthony Edwards,Timberwolves,G,37,19,6,5,1,1,6,5
2026,2026-01-28,Cam Spencer,Grizzlies,G,28,4,0,6,1,0,2,1
2026,2025-10-30,Miles Bridges,Hornets,F,33,16,5,0,0,1,3,2
2026,2025-12-29,Kevin Durant,Rockets,F,34,30,6,5,0,1,3,0
2026,2026-04-08,Daniss Jenkins,Pistons,G,20,9,5,6,0,0,1,0
2026,2025-11-17,Pat Connaughton,Hornets,G,9,5,1,0,0,0,0,0
2026,2025-11-29,Rob Dillingham,Timberwolves,G,6,3,0,2,0,0,1,1
2026,2026-01-04,Alex Sarr,Wizards,C,26,7,3,4,1,0,2,3
2026,2026-03-05,Ochai Agbaji,Nets,G,10,6,0,0,1,0,1,2
2026,2026-01-24,Miles Bridges,Hornets,F,29,20,3,4,0,2,2,2
2026,2026-02-20,Bub Carrington,Wizards,G,22,6,5,7,1,0,2,0
2026,2025-12-05,Keaton Wallace,Hawks,G,10,0,2,4,0,0,0,0
2026,2026-02-04,Kevin Durant,Rockets,F,33,15,5,1,2,1,2,1
2026,2025-11-24,Cooper Flagg,Mavericks,F,34,12,7,3,2,0,3,2
2026,2026-03-10,LJ Cryer,Warriors,G,21,17,1,2,0,0,0,2
2026,2025-12-01,Jevon Carter,Bulls,G,5,0,0,0,0,0,2,0
