category,rank,player,team,value
Points,1,A'ja Wilson,LVA,937
Points,2,Kelsey Mitchell,IND,890
Points,3,Kelsey Plum,LAS,839
Points,4,Dearica Hamby,LAS,811
Points,5,Nneka Ogwumike,SEA,803
Points,6,Allisha Gray,ATL,773
Points,7,Napheesa Collier,MIN,755
Points,8,Jackie Young,LVA,727
Points,9,Tina Charles,CON,700
Points,10,Sabrina Ionescu,NYL,693
Points,11,Paige Bueckers,DAL,692
Points,12,Skylar Diggins,SEA,667
Points,13,Aliyah Boston,IND,660
Points,14,Sonia Citron,WAS,657
Points,15,Satou Sabally,PHO,636
Points,16,Alyssa Thomas,PHO,599
Points,NA,Courtney Williams,MIN,599
Points,18,Kiki Iriafen,WAS,584
Points,19,Rhyne Howard,ATL,577
Points,20,Breanna Stewart,NYL,566
Points Per Game,1,A'ja Wilson,LVA,23.4
Points Per Game,2,Napheesa Collier,MIN,22.9
Points Per Game,3,Kelsey Mitchell,IND,20.2
Points Per Game,4,Kelsey Plum,LAS,19.5
Points Per Game,5,Paige Bueckers,DAL,19.2
Points Per Game,6,Dearica Hamby,LAS,18.4
Points Per Game,7,Allisha Gray,ATL,18.4
Points Per Game,8,Breanna Stewart,NYL,18.3
Points Per Game,9,Nneka Ogwumike,SEA,18.2
Points Per Game,10,Sabrina Ionescu,NYL,18.2
Points Per Game,11,Rhyne Howard,ATL,17.5
Points Per Game,12,Jackie Young,LVA,16.5
Points Per Game,13,Satou Sabally,PHO,16.3
Points Per Game,14,Tina Charles,CON,16.3
Points Per Game,15,Kahleah Copper,PHO,15.6
Points Per Game,16,Arike Ogunbowale,DAL,15.5
Points Per Game,17,Skylar Diggins,SEA,15.5
Points Per Game,18,Alyssa Thomas,PHO,15.4
Points Per Game,19,Aliyah Boston,IND,15
Points Per Game,20,Sonia Citron,WAS,14.9
Total Rebounds,1,A'ja Wilson,LVA,407
Total Rebounds,2,Angel Reese,CHI,377
Total Rebounds,3,Kiki Iriafen,WAS,376
Total Rebounds,4,Aliyah Boston,IND,361
Total Rebounds,5,Azura Stevens,LAS,352
Total Rebounds,6,Dearica Hamby,LAS,349
Total Rebounds,7,Alyssa Thomas,PHO,344
Total Rebounds,8,Kamilla Cardoso,CHI,341
Total Rebounds,9,Brionna Jones,ATL,319
Total Rebounds,10,Nneka Ogwumike,SEA,309
Total Rebounds,11,Jessica Shepard,MIN,293
Total Rebounds,12,Natasha Howard,IND,290
Total Rebounds,13,Aneesah Morrow,CON,282
Total Rebounds,14,Ezi Magbegor,SEA,272
Total Rebounds,15,Naz Hillmon,ATL,271
Total Rebounds,16,Jonquel Jones,NYL,251
Total Rebounds,17,Tina Charles,CON,248
Total Rebounds,18,Shakira Austin,WAS,242
Total Rebounds,19,Napheesa Collier,MIN,241
Total Rebounds,20,Myisha Hines-Allen,DAL,240
Rebounds Per Game,1,Angel Reese,CHI,12.6
Rebounds Per Game,2,A'ja Wilson,LVA,10.2
Rebounds Per Game,3,Alyssa Thomas,PHO,8.8
Rebounds Per Game,4,Kiki Iriafen,WAS,8.5
Rebounds Per Game,5,Kamilla Cardoso,CHI,8.5
Rebounds Per Game,6,Aliyah Boston,IND,8.2
Rebounds Per Game,7,Jonquel Jones,NYL,8.1
Rebounds Per Game,8,Azura Stevens,LAS,8
Rebounds Per Game,9,Dearica Hamby,LAS,7.9
Rebounds Per Game,10,Jessica Shepard,MIN,7.3
Rebounds Per Game,11,Napheesa Collier,MIN,7.3
Rebounds Per Game,12,Brionna Jones,ATL,7.2
Rebounds Per Game,13,Nneka Ogwumike,SEA,7
Rebounds Per Game,14,Aneesah Morrow,CON,6.9
Rebounds Per Game,15,Natasha Howard,IND,6.6
Rebounds Per Game,16,Breanna Stewart,NYL,6.5
Rebounds Per Game,17,Shakira Austin,WAS,6.4
Rebounds Per Game,18,Ezi Magbegor,SEA,6.2
Rebounds Per Game,19,Naz Hillmon,ATL,6.2
Rebounds Per Game,20,Myisha Hines-Allen,DAL,6
Offensive Rebounds,1,Brionna Jones,ATL,136
Offensive Rebounds,2,Angel Reese,CHI,123
Offensive Rebounds,3,Kamilla Cardoso,CHI,118
Offensive Rebounds,4,Kiki Iriafen,WAS,114
Offensive Rebounds,5,Dearica Hamby,LAS,113
Offensive Rebounds,6,Aliyah Boston,IND,107
Offensive Rebounds,7,Jessica Shepard,MIN,92
Offensive Rebounds,8,A'ja Wilson,LVA,91
Offensive Rebounds,9,Natasha Howard,IND,86
Offensive Rebounds,10,Ezi Magbegor,SEA,85
Offensive Rebounds,11,Aneesah Morrow,CON,84
Offensive Rebounds,12,Elizabeth Williams,CHI,79
Offensive Rebounds,13,Natasha Mack,PHO,78
Offensive Rebounds,14,NaLyssa Smith,TOT,74
Offensive Rebounds,NA,Azura Stevens,LAS,74
Offensive Rebounds,16,Temi Fagbenle,GSV,70
Offensive Rebounds,17,Naz Hillmon,ATL,69
Offensive Rebounds,18,Alanna Smith,MIN,65
Offensive Rebounds,19,Alyssa Thomas,PHO,64
Offensive Rebounds,20,Tina Charles,CON,62
Offensive Rebounds,NA,Napheesa Collier,MIN,62
Offensive Rebounds,NA,Lexie Hull,IND,62
Defensive Rebounds,1,A'ja Wilson,LVA,316
Defensive Rebounds,2,Alyssa Thomas,PHO,280
Defensive Rebounds,3,Azura Stevens,LAS,278
Defensive Rebounds,4,Kiki Iriafen,WAS,262
Defensive Rebounds,5,Aliyah Boston,IND,254
Defensive Rebounds,NA,Angel Reese,CHI,254
Defensive Rebounds,7,Nneka Ogwumike,SEA,250
Defensive Rebounds,8,Dearica Hamby,LAS,236
Defensive Rebounds,9,Kamilla Cardoso,CHI,223
Defensive Rebounds,10,Jonquel Jones,NYL,206
Defensive Rebounds,11,Natasha Howard,IND,204
Defensive Rebounds,12,Naz Hillmon,ATL,202
Defensive Rebounds,13,Jessica Shepard,MIN,201
Defensive Rebounds,14,Aneesah Morrow,CON,198
Defensive Rebounds,15,Courtney Williams,MIN,193
Defensive Rebounds,16,Allisha Gray,ATL,187
Defensive Rebounds,NA,Ezi Magbegor,SEA,187
