season,game_date,player,team,position,minutes,points,rebounds,assists,steals,blocks,turnovers,fouls
2025,2025-10-10,NaLyssa Smith,Aces,F,23,5,5,0,1,0,2,4
2025,2025-10-10,Kierstan Bell,Aces,F,7,3,1,0,1,0,0,0
2025,2025-10-10,A'ja Wilson,Aces,C,36,31,9,4,2,3,2,3
2025,2025-10-10,Chelsea Gray,Aces,G,38,18,4,4,2,2,0,2
2025,2025-10-10,Jackie Young,Aces,G,35,18,7,8,1,0,2,0
2025,2025-10-10,Kiah Stokes,Aces,C,1,0,0,0,0,0,0,0
2025,2025-10-10,Megan Gustafson,Aces,C,9,0,1,0,0,0,0,1
2025,2025-10-10,Jewell Loyd,Aces,G,31,12,4,1,1,1,1,3
2025,2025-10-10,Dana Evans,Aces,G,21,10,1,2,0,0,0,3
2025,2025-10-10,DeWanna Bonner,Mercury,F,35,10,10,1,0,1,0,4
2025,2025-10-10,Alyssa Thomas,Mercury,F,40,17,12,10,0,0,9,3
2025,2025-10-10,Natasha Mack,Mercury,F,2,0,0,0,0,0,0,2
2025,2025-10-10,Kahleah Copper,Mercury,G,36,30,6,1,0,0,3,6
2025,2025-10-10,Monique Akoa Makani,Mercury,G,29,10,5,4,2,0,3,2
2025,2025-10-10,Kathryn Westbeld,Mercury,F,16,3,3,0,0,1,1,3
2025,2025-10-10,Kalani Brown,Mercury,C,18,10,4,0,1,2,2,4
2025,2025-10-10,Sami Whitcomb,Mercury,G,17,3,0,1,0,1,0,1
2025,2025-10-10,Lexi Held,Mercury,G,7,3,1,0,0,0,0,0
2025,2025-10-08,NaLyssa Smith,Aces,F,17,2,7,1,0,1,0,5
2025,2025-10-08,Kierstan Bell,Aces,F,11,0,0,0,1,1,0,1
2025,2025-10-08,A'ja Wilson,Aces,C,38,34,14,4,0,3,3,1
2025,2025-10-08,Chelsea Gray,Aces,G,39,11,2,5,3,3,1,4
2025,2025-10-08,Jackie Young,Aces,G,37,21,3,9,2,0,0,1
2025,2025-10-08,Kiah Stokes,Aces,C,0,0,0,0,0,0,0,0
2025,2025-10-08,Megan Gustafson,Aces,C,11,0,2,0,1,0,2,2
2025,2025-10-08,Jewell Loyd,Aces,G,30,16,7,1,1,0,2,3
2025,2025-10-08,Dana Evans,Aces,G,16,6,1,1,0,0,0,6
2025,2025-10-08,Aaliyah Nye,Aces,G,2,0,0,0,0,0,0,1
2025,2025-10-08,Alyssa Thomas,Mercury,F,39,14,12,9,2,0,3,5
2025,2025-10-08,Natasha Mack,Mercury,F,7,0,2,1,0,0,0,1
2025,2025-10-08,Satou Sabally,Mercury,F,32,24,5,3,0,1,5,3
2025,2025-10-08,Kahleah Copper,Mercury,G,36,17,2,0,1,0,1,1
2025,2025-10-08,Monique Akoa Makani,Mercury,G,25,6,1,1,0,0,1,5
2025,2025-10-08,DeWanna Bonner,Mercury,F,31,25,10,0,0,1,1,5
2025,2025-10-08,Kathryn Westbeld,Mercury,F,6,2,0,0,1,0,0,0
2025,2025-10-08,Sami Whitcomb,Mercury,G,25,0,1,3,1,0,1,1
