player,team,Points,Rebounds,Assists,Steals,Blocks,Field Goal Pct,Minutes
A'ja Wilson,LVA,23.4,10.2,3.1,1.6,2.3,0.505,31.2
Napheesa Collier,MIN,22.9,7.3,3.2,1.6,1.5,0.531,32.3
Kelsey Mitchell,IND,20.2,1.8,3.4,0.9,0.2,0.456,31.4
Kelsey Plum,LAS,19.5,3.1,5.7,1.2,0.1,0.422,35.1
Paige Bueckers,DAL,19.2,3.9,5.4,1.6,0.5,0.477,33.3
Allisha Gray,ATL,18.4,5.3,3.5,1.1,0.4,0.451,34.5
Dearica Hamby,LAS,18.4,7.9,3.3,1.6,0.5,0.572,31.2
Nneka Ogwumike,SEA,18.3,7,2.3,1.1,0.4,0.519,30.9
Breanna Stewart,NYL,18.3,6.5,3.5,1.4,1.4,0.461,30.6
Sabrina Ionescu,NYL,18.2,4.9,5.7,1.3,0.4,0.401,31.4
Rhyne Howard,ATL,17.5,4.5,4.6,1.5,0.8,0.375,34.9
Caitlin Clark,IND,16.5,5,8.8,1.6,0.5,0.367,31.1
